,Area,count,mean,std,min,25%,50%,75%,max
208,Russian Federation,336.0,1.4116488095238093,1.6320510825334416,-3.448,0.39825,1.212,2.31475,7.389
209,Rwanda,446.0,0.2554304932735426,0.6371328638276277,-2.866,-0.1115,0.1765,0.62775,2.473
210,Réunion,693.0,0.4203160173160173,0.6122698432647149,-1.213,-0.013,0.427,0.849,2.411
211,"Saint Helena, Ascension and Tristan da Cunha",708.0,0.719473163841808,0.8214868626301901,-1.655,0.09275,0.715,1.3370000000000002,3.645
212,Saint Kitts and Nevis,676.0,0.26229142011834317,0.50244221571608,-1.297,-0.0965,0.2815,0.582,2.315
213,Saint Lucia,708.0,0.31145903954802256,0.5308875302250372,-1.136,-0.05725,0.293,0.71975,2.235
214,Saint Pierre and Miquelon,708.0,0.1588036723163842,1.4279890588046196,-5.498,-0.712,0.166,1.09275,4.704
215,Saint Vincent and the Grenadines,708.0,0.35333333333333333,0.5835427761674047,-1.198,-0.08025,0.3265,0.76925,2.342
216,Samoa,673.0,0.44959286775631496,0.6037883656914015,-1.092,-0.014,0.404,0.895,2.591
217,San Marino,708.0,0.5987189265536723,1.4569840043944764,-3.846,-0.378,0.5765,1.57525,5.534
218,Sao Tome and Principe,650.0,0.3951769230769231,0.5553179944566946,-0.972,-0.018,0.31,0.7935000000000001,2.201
219,Saudi Arabia,708.0,0.47288276836158183,1.1327036083255333,-3.216,-0.25725,0.44,1.21275,4.034
220,Senegal,708.0,0.7429985875706214,0.7980457362639988,-2.049,0.23025,0.7635000000000001,1.248,3.463
221,Serbia,168.0,1.5219404761904765,1.6162765841388969,-5.319,0.61375,1.5965,2.4335,5.999
222,Serbia and Montenegro,168.0,0.6582380952380952,1.759423715662226,-4.599,-0.27025,0.648,1.76275,4.763
223,Seychelles,708.0,0.40729943502824856,0.5199443998669514,-1.272,0.073,0.3915,0.73325,1.882
224,Sierra Leone,692.0,0.5511416184971099,0.6525259459678191,-1.151,0.06375,0.4835,0.9995,2.72
225,Singapore,337.0,0.15336498516320474,0.39148471244716065,-0.995,-0.103,0.152,0.391,1.693
226,Slovakia,324.0,1.2131975308641976,1.8321131849508274,-4.345,0.1575,1.3319999999999999,2.37475,6.581
227,Slovenia,336.0,1.4344077380952378,1.6630430704431256,-3.423,0.47175,1.4455,2.68775,5.527
228,Small Island Developing States,708.0,0.44065677966101696,0.46979580805855264,-0.623,0.071,0.4155,0.7725,1.739
229,Solomon Islands,645.0,0.42489457364341077,0.6267261663803326,-1.342,-0.009,0.304,0.732,2.512
230,Somalia,707.0,0.6151202263083451,0.7688107117193019,-1.535,0.05,0.524,1.133,3.828
231,South Africa,708.0,0.45403954802259894,0.7837557305116422,-2.244,-0.08225,0.4365,0.97825,3.188
232,South America,708.0,0.4544406779661017,0.5373074978574688,-1.026,0.063,0.4445,0.8302499999999999,2.126
233,South Georgia and the South Sandwich Islands,611.0,0.16095744680851062,1.1237513353763047,-3.22,-0.627,0.18,0.909,3.65
